Number,Name,Quantity,Cost,Price
51,رول بشكير 10سم,7408,0.51,3
147,ماكنة رول سوبرتكس,0,36.5,50
53,رول مهير 10سم,3435,0.765,3
57,طقم رول 10سم(2*1) عريض,857,2.775,6.5
128,رول ورده,0,3,6
138,مالج Gold,0,9,15
158,ستانسل بوستر عوضين,0,9.33,15
58,طقم رول 15سم (2*1) عريض,689,3.33,7.5
139,مالج فرنس 20*8,0,81.2,100
159,ستانسل A4  عوضين,0,2.39,5
59,رول بشكير 15سم,11932,0.56,6
60,رول اسفنج 15سم ابيض,1600,1.4,5
61,رول مبطن 15سم,130,2.5,5
62,رول مبطن 10سم,9496,1.6302,3.5
63,رول تكس 25سم,41,8.6,13.5
65,"رول  9""   Zoo",119,4.75,10.5
66,"رول  9""  Poliamed",383,5.25,15
